hhid,pid,wave,year,p_age,p_econstat,p_edu,p_employ_type,p_firm_size,p_hours,p_ind2000,p_ind2007,p_ind2017,p_job_begin,p_job_status,p_jobfam2000,p_jobfam2007,p_jobfam2017,p_jobtype,p_married,p_region,p_rel,p_religion,p_sample09,p_sample18,p_sample98,p_sex,p_wage,p_weight09_c,p_weight09_l,p_weight18_c,p_weight18_l,p_weight98_c,p_weight98_l
18,1805,23,2020,43,3,3,,,,,,,,,,,,,1,1,13,1,1,1,1,1,,4108.5405,6538.7813,2033.4041,2435.6597,3637.8171,4288.7266
20,2001,23,2020,58,1,2,1,2,40,181,141,141,2020m1,2,753,721,721,1,2,1,10,1,1,1,1,1,400,6609.168,4049.7568,3909.3796,3342.7498,11017.603,3266.5225
20,2002,23,2020,62,3,3,,,,,,,,,,,,,2,1,20,1,1,1,1,2,,5880.0122,3329.6094,3778.5251,3148.7849,11017.603,1969.0594
20,2003,23,2020,28,1,3,1,1,40,521,471,471,2020m2,2,512,521,521,1,1,1,11,1,1,1,1,1,130,7902.5435,5945.2139,5057.4517,5564.6294,11017.603,8529.0381
20,2004,23,2020,25,3,3,,,,,,,,,,,,,1,1,12,1,1,1,1,1,,7902.5435,12738.136,5057.4517,4781.1523,11017.603,30307.902
22,2201,23,2020,47,1,2,1,,30,513,463,463,2006m5,1,915,953,953,1,2,8,10,1,1,1,1,2,120,1305.1396,1241.9014,727.48846,656.64111,30.633087,20.353668
22,2202,23,2020,53,1,3,2,1,40,513,463,463,2007m10,4,511,521,521,2,2,8,20,1,1,1,1,1,400,1187.1783,1069.3599,709.5658,583.51367,30.633087,0
22,2203,23,2020,20,1,4,1,1,40,883,856,856,2019m2,2,282,286,286,1,1,8,11,1,1,1,1,1,91,1721.2841,1890.4587,989.63733,1104.5531,30.633087,75.223152
22,2204,23,2020,17,3,2,,,,,,,,,,,,,1,8,12,1,1,1,1,2,,1416.3256,1274.9828,873.9574,825.77875,30.633087,26.961395
24,2402,23,2020,87,3,2,,,,,,,,,,,,,3,12,10,3,1,1,1,2,,1810.4723,1862.5909,1120.3739,1114.3066,1966.6292,1966.7234
27,2702,23,2020,82,3,2,,,,,,,,,,,,,3,1,10,3,3,1,1,2,,,,1053.7355,1117.3771,148.48917,148.49628
31,3101,23,2020,81,3,2,,,,,,,,,,,,,2,8,10,1,1,1,1,1,,1352.2529,1161.9807,550.90771,565.65625,1816.4808,1816.5679
31,3102,23,2020,73,3,2,,,,,,,,,,,,,2,8,20,1,1,1,1,2,,1322.8794,1736.6296,534.08081,610.64343,1816.4808,1816.5679
8815,3103,23,2020,47,1,3,2,,48,525,473,473,2010m10,4,522,530,531,2,2,5,10,1,2,1,2,1,150,1350.5181,2449.8469,1779.5356,1607.0564,1827.0851,1816.5679
32,3201,23,2020,81,3,3,,,,,,,,,,,,,2,1,10,1,1,1,1,1,,1790.6595,1595.0875,501.84882,480.99719,1096.8293,2187.2986
32,3202,23,2020,74,3,2,,,,,,,,,,,,,2,1,20,1,1,1,1,2,,1908.9323,2507.3542,552.75562,540.67548,1096.8293,1103.3469
8295,3204,23,2020,48,1,3,2,,30,514,464,464,2015m4,4,511,521,521,2,2,1,10,1,2,1,2,1,300,1836.5486,3761.1636,1046.1102,1068.6086,3906.1541,7812.6821
32,3206,23,2020,48,3,3,,,,,,,,,,,,,3,1,12,1,1,1,1,2,,2006.5684,1967.2717,556.37054,689.26196,1096.8293,0
33,3301,23,2020,64,1,3,1,1,40,504,477,477,2006m10,1,842,873,875,1,2,1,10,1,1,1,1,1,200,2002.9928,1673.2697,1322.3115,1240.651,8260.5371,7328.272
33,3302,23,2020,57,1,2,1,1,40,181,141,141,1995m11,1,753,721,721,1,2,1,20,2,1,1,1,2,180,1908.3218,2212.9578,1167.321,1106.7115,8260.5371,7328.272
33,3303,23,2020,30,1,5,1,1,40,722,582,582,2012m6,1,120,222,223,1,1,1,11,1,1,1,1,2,200,2104.4204,2590.1548,1283.0331,1600.3658,8260.5371,10126.254
8719,3304,23,2020,28,1,3,1,1,50,463,423,423,2011m2,1,311,312,312,1,1,1,10,1,2,1,2,1,220,2564.9307,2065.1587,1859.5947,1553.4055,2234.4324,2234.5393
34,3401,23,2020,59,1,2,2,,50,603,493,493,2018m5,4,842,873,873,2,2,12,10,1,1,1,1,1,500,2913.1914,2983.0911,375.96881,0,1395.1598,2520.9426
34,3402,23,2020,61,3,2,,,,,,,,,,,,,2,12,20,2,1,1,1,2,,2979.022,2842.1069,407.67297,809.3631,1395.1598,269.51059
8720,3403,23,2020,36,1,3,1,2,40,923,953,953,2014m9,1,733,761,771,1,2,8,10,1,2,1,2,1,200,2634.6028,4302.8125,1995.2938,1786.4348,134.74884,269.51059
8721,3404,23,2020,32,1,2,2,1,50,212,179,179,2020m8,4,930,930,930,2,2,12,20,2,2,1,2,2,200,1675.1981,1723.9996,550.77637,579.08636,269.49768,539.02118
9945,3405,23,2020,87,3,2,,,,,,,,,,,,,3,8,10,1,3,2,2,2,,,,582.99237,651.64832,0,0
38,3802,23,2020,75,3,1,,,,,,,,,,,,,3,1,6,2,1,1,1,2,,2779.395,2516.332,1394.8376,1199.6724,1595.9825,1596.059
38,3803,23,2020,49,1,2,1,2,45,742,715,715,2018m10,1,262,510,510,1,1,1,10,1,1,1,1,1,230,2812.5056,3406.645,1434.5118,1671.5061,1595.9825,1596.059
39,3901,23,2020,56,1,2,2,,40,181,141,141,2001m9,4,753,721,721,2,2,1,10,2,3,1,1,1,,,,2147.3794,2536.4187,4897.5581,4897.7925
39,3902,23,2020,56,1,2,1,,50,939,969,969,2019m10,3,911,941,941,1,2,1,20,2,3,1,1,2,170,,,1926.5671,2029.4038,4897.5581,4897.7925
40,4001,23,2020,69,1,3,1,,35,919,949,949,1995m3,1,30,159,159,1,2,1,10,3,1,1,1,1,250,2026.4153,2402.7634,1009.9459,1115.6608,3086.0806,3086.2283
40,4002,23,2020,69,1,2,3,,35,939,969,969,2013m12,5,411,951,421,2,2,1,20,1,1,1,1,2,,1980.6359,2185.0891,960.492,983.87708,3086.0806,3086.2283
7781,4004,23,2020,41,1,6,2,,50,151,102,102,2018m6,4,827,811,811,2,2,1,10,3,1,1,2,1,2000,1576.0992,1613.8879,1202.8755,1178.8992,94.43882,94.443344
41,4101,23,2020,59,1,2,1,1,54,181,141,141,2000m3,1,753,721,721,1,2,1,10,1,1,1,1,1,150,5721.6372,6641.374,2741.7795,2979.1443,5533.7661,7581.6509
41,4102,23,2020,56,3,2,,,,,,,,,,,,,2,1,20,2,1,1,1,2,,4961.8975,5265.5049,2459.8459,2842.73,5533.7661,3486.4111
8722,4103,23,2020,36,1,3,3,1,30,745,713,713,2018m1,5,315,313,313,2,2,16,20,1,2,1,2,2,,3232.6121,8626.8291,1607.5145,1533.7313,3001.7634,6003.8145
9946,4104,23,2020,31,1,3,1,,40,659,649,649,2007m10,1,521,530,531,1,2,1,20,1,2,2,2,2,220,7092.6055,6880.8447,1459.5149,2847.2661,2601.4353,5203.1196
42,4201,23,2020,80,1,2,2,,54,524,474,474,1983m3,4,512,521,521,2,3,1,10,3,1,1,1,2,60,3769.4045,4176.4658,1519.0505,1610.7955,1638.738,1638.8165
5994,4202,23,2020,48,3,5,,,,,,,,,,,,,2,1,20,4,1,1,2,2,,3736.0085,3344.7107,2123.7278,1829.739,4937.2388,8864.3945
7782,4203,23,2020,46,3,5,,,,,,,,,,,,,1,1,10,4,1,1,2,2,,12610.795,12363.825,6678.8862,7009.7773,11719.708,11720.27
6834,4204,23,2020,43,1,6,1,4,48,12,12,12,2005m7,1,316,312,312,1,2,11,10,4,1,1,2,1,480,3902.6753,3027.637,2872.4216,3074.6453,8779.6221,17560.086
5994,4205,23,2020,52,1,6,2,,48,361,320,320,2015m1,4,752,730,730,2,2,1,10,1,1,1,2,1,400,3683.8179,3511.4229,2185.3169,1813.6918,4937.2388,0
5994,4206,23,2020,21,3,4,,,,,,,,,,,,,1,1,11,4,1,1,2,2,,4368.0513,4361.4595,2628.791,3135.7749,4937.2388,5948.0308
44,4401,23,2020,66,3,2,,,,,,,,,,,,,2,1,10,3,1,1,1,1,,2991.6611,2967.1301,1524.0221,1712.2664,3039.3059,3081.1604
44,4402,23,2020,59,1,3,1,1,40,154,107,107,1997m7,1,512,521,521,1,2,1,20,3,1,1,1,2,120,2850.2607,3502.0547,1345.3888,1431.5938,3039.3059,2253.3662
44,4403,23,2020,25,3,4,,,,,,,,,,,,,1,1,11,3,1,1,1,1,,3929.8613,2913.3008,1939.9761,1620.5519,3039.3059,3411.6399
44,4404,23,2020,25,1,6,1,,40,801,851,851,2019m4,1,154,253,253,1,1,1,12,3,1,1,1,2,250,3897.1462,3769.3254,1803.9069,1527.1729,3039.3059,3411.6399
47,4701,23,2020,56,3,6,,,,,,,,,,,,,2,1,10,1,1,1,1,1,,2614.488,2897.0876,1250.5585,1473.1885,2420.7844,2420.9001
47,4702,23,2020,56,3,5,,,,,,,,,,,,,2,1,20,1,1,1,1,2,,2267.3269,2538.2615,1121.9651,1185.6686,2420.7844,2420.9001
49,4901,23,2020,77,3,3,,,,,,,,,,,,,2,1,10,3,1,1,1,1,,1119.9691,1254.7948,441.30084,471.78659,2288.3403,2693.6494
49,4902,23,2020,71,3,2,,,,,,,,,,,,,2,1,20,4,1,1,1,2,,1193.9429,1290.4904,486.0658,515.03522,2288.3403,1883.2507
5648,5003,23,2020,52,1,6,1,4,40,851,861,861,2005m10,1,143,243,243,1,3,8,10,3,1,1,2,2,390,4479.2754,4569.2129,2710.8914,2805.4602,1645.8776,2194.6086
5648,5004,23,2020,22,3,4,,,,,,,,,,,,,1,8,11,3,1,1,2,2,,5471.6587,6038.5493,3164.4797,2696.2751,1645.8776,2194.6086
51,5101,23,2020,64,1,4,1,1,45,552,561,561,2019m5,1,421,441,441,1,2,1,20,3,1,1,1,2,200,1960.0894,4573.9116,641.72656,662.48071,20.840544,41.683086
7279,5102,23,2020,43,3,6,,,,,,,,,,,,,2,1,10,1,1,1,2,2,,2954.5732,3302.5168,1574.6265,1591.3019,26.376314,52.755154
7422,5103,23,2020,41,3,6,,,,,,,,,,,,,2,1,20,3,1,1,2,2,,3882.1189,4478.0137,2166.7307,2141.96,52.752628,105.51031
8297,5104,23,2020,38,1,6,2,,40,809,855,855,2012m8,4,252,254,254,2,1,1,10,3,2,1,2,2,160,10585.448,10269.402,5819.0503,5675.9902,3376.1682,3376.3298
7517,5105,23,2020,32,1,6,1,3,15,809,855,856,2018m1,2,156,254,254,1,2,1,10,1,3,1,2,2,175,,,1265.1044,2468.0042,1685.7659,3371.6931
51,5106,23,2020,70,1,6,2,,20,11,11,11,2008m2,4,611,611,611,2,2,1,10,4,1,1,1,1,100,1993.9451,0,582.00769,659.86304,20.840544,0
54,5401,23,2020,57,3,2,,,,,,,,,,,,,2,9,10,3,1,1,1,1,,4140.978,4973.5107,2255.0874,2567.1096,3369.8672,4261.4849
54,5402,23,2020,57,3,3,,,,,,,,,,,,,2,9,20,3,1,1,1,2,,4097.6982,4708.0396,2032.0974,2414.8301,3369.8672,2478.5725
9947,5403,23,2020,31,1,5,1,3,40,289,259,259,2019m8,1,812,841,841,1,1,8,10,1,2,2,2,1,220,4506.1099,3679.6714,2038.7789,1873.0349,5581.645,5581.9126
9459,5404,23,2020,28,1,6,1,,32,759,759,759,2018m1,2,183,285,285,1,1,1,10,1,2,1,2,2,100,8860.2549,7451.7285,7036.3394,5956.9077,14820.018,14820.728
55,5503,23,2020,65,3,5,,,,,,,,,,,,,1,10,10,3,1,1,1,1,,3994.1191,4591.4429,1830.4077,2114.4238,8789.6621,8790.083
59,5901,23,2020,90,1,3,1,2,40,202,162,162,1968m2,1,753,721,721,1,2,1,10,1,1,1,1,1,137,1233.6439,1349.1241,477.09341,509.66895,1764.2703,1764.3549
60,6002,23,2020,67,3,2,,,,,,,,,,,,,2,8,10,4,1,1,1,2,,2436.0645,2704.7095,1056.8167,1130.5049,2194.7209,2194.8262
61,6102,23,2020,84,3,2,,,,,,,,,,,,,3,1,6,1,1,1,1,2,,1414.2488,1259.1234,616.89453,662.53021,1512.8569,1512.9294
61,6103,23,2020,55,3,5,,,,,,,,,,,,,1,1,10,1,1,1,1,2,,1271.1799,1784.4056,573.23511,659.39001,1512.8569,1512.9294
6301,6104,23,2020,51,1,3,1,1,16,552,561,561,2020m2,3,911,952,952,1,1,8,10,1,1,1,2,2,60,2843.1113,3138.5713,1684.0184,1911.7373,1489.0656,1489.1368
63,6301,23,2020,53,1,3,3,,50,922,952,952,2003m8,5,317,314,314,2,2,8,20,1,1,1,1,2,,2975.1814,2062.0242,1726.4773,1564.8114,3903.5757,2734.1858
63,6302,23,2020,54,1,3,2,,65,922,952,952,1999m10,4,731,751,751,2,2,8,10,1,1,1,1,1,350,2931.2542,2027.3228,1727.6207,1591.6188,3903.5757,2734.1858
63,6304,23,2020,24,3,6,,,,,,,,,,,,,1,8,12,1,1,1,1,2,,3634.333,5577.3462,2015.3527,2311.137,3903.5757,6242.916
64,6402,23,2020,86,3,2,,,,,,,,,,,,,3,8,6,2,1,1,1,2,,4604.2964,4132.8164,2109.1436,2112.6089,1386.6898,1328.7209
64,6403,23,2020,52,1,5,1,1,20,939,969,969,2016m2,2,842,873,875,1,1,8,10,1,1,1,1,1,80,4720.0972,6035.7852,2215.3284,2610.2842,1386.6898,1444.7914
65,6502,23,2020,79,3,2,,,,,,,,,,,,,3,1,10,3,1,1,1,2,,1966.1041,2178.4255,751.15454,796.52148,1359.8752,1359.9404
66,6603,23,2020,41,3,6,,,,,,,,,,,,,1,1,10,1,1,1,1,1,,982.05994,1005.6058,1115.5068,1093.272,0,0
66,6604,23,2020,64,1,3,2,,40,526,476,476,2013m6,4,513,530,532,2,1,1,997,1,1,1,1,2,150,894.91138,1044.1477,1085.8073,1194.13,0,0
67,6703,23,2020,56,3,3,,,,,,,,,,,,,3,1,10,1,1,1,1,2,,1673.1354,1962.9927,796.05353,927.57629,0,0
68,6801,23,2020,78,3,3,,,,,,,,,,,,,2,1,10,1,1,1,1,1,,2529.3159,2454.9954,892.18591,936.24988,1443.7167,2236.3242
68,6802,23,2020,73,3,2,,,,,,,,,,,,,2,1,20,1,1,1,1,2,,2696.3767,2793.0176,982.68799,1060.4651,1443.7167,2095.033
6975,6803,23,2020,44,3,5,,,,,,,,,,,,,2,8,20,1,1,1,2,2,,2497.3621,2772.4578,1343.3425,1378.5961,22.135349,44.272816
7423,6804,23,2020,39,1,5,1,,45,660,651,651,2003m5,1,312,312,312,1,2,1,10,1,1,1,2,2,350,8476.3926,8223.3164,4568.7368,4456.4155,5193.5366,10387.571
68,6805,23,2020,24,3,3,,,,,,,,,,,,,1,1,111,1,1,1,1,1,,3341.5996,3168.2808,1316.6978,1099.8987,1443.7167,0
72,7201,23,2020,76,3,3,,,,,,,,,,,,,2,1,10,4,1,1,1,1,,3998.0112,3771.6467,1143.1869,1212.8562,4243.6987,4646.6147
72,7202,23,2020,71,1,3,1,,40,939,969,969,2007m8,2,411,951,421,1,2,1,20,3,1,1,1,2,100,4262.0791,2943.6609,1259.1501,1344.3672,4243.6987,1835.5833
72,7205,23,2020,40,1,6,1,6,40,851,861,861,2010m5,2,143,243,243,1,1,1,13,4,1,1,1,2,300,4480.0713,6650.0898,1267.3846,1330.1746,4243.6987,6249.5078
73,7301,23,2020,70,1,2,1,2,49,602,492,492,2013m4,2,842,873,875,1,2,1,10,2,1,1,1,1,120,2219.0549,2170.2195,964.59277,1087.4429,2905.1721,2905.3113
73,7302,23,2020,69,3,2,,,,,,,,,,,,,2,1,20,2,1,1,1,2,,2181.377,2814.2183,1063.5681,1104.9843,2905.1721,2905.3113
9598,7303,23,2020,43,1,6,1,2,44,722,582,582,2011m1,1,120,223,224,1,2,1,10,2,2,1,2,1,200,3531.5571,3616.23,1993.0098,1953.2842,1526.6669,3053.48
8816,7304,23,2020,41,3,6,,,,,,,,,,,,,2,1,10,1,2,1,2,2,,3666.6587,3594.8508,2012.1285,2111.8152,1533.153,3066.4526
75,7501,23,2020,49,3,3,,,,,,,,,,,,,2,1,10,1,1,1,1,1,,2706.7703,2835.8721,1741.1118,1774.0942,2006.0099,1935.2087
75,7502,23,2020,49,1,3,1,2,40,862,872,872,2017m9,2,411,421,421,1,2,1,20,1,1,1,1,2,195,2811.7178,2811.0142,1704.0295,1606.2631,2006.0099,1935.2087
75,7504,23,2020,18,3,2,,,,,,,,,,,,,1,1,12,1,1,1,1,2,,2955.3784,2750.4006,2023.7966,2039.9919,2006.0099,2147.9006
5535,7601,23,2020,49,1,2,1,2,38,521,471,471,2018m5,1,321,521,521,1,2,13,20,1,1,1,2,2,180,6179.5591,4700.3442,3416.0784,3477.9302,1152.4364,3457.4746
7424,7602,23,2020,47,3,3,,,,,,,,,,,,,2,1,20,1,3,1,2,2,,,,1923.9236,1997.2915,45.892414,91.78923
76,7603,23,2020,53,1,3,1,1,30,552,561,561,2018m1,2,422,442,442,1,2,1,20,1,1,1,1,2,100,3811.353,4297.8545,1880.6672,2122.2024,22.946207,45.894615
7519,7604,23,2020,79,3,3,,,,,,,,,,,,,3,1,10,1,1,1,2,2,,2353.929,2608.1318,938.63672,995.3269,1466.5405,1466.6107
76,7605,23,2020,58,3,3,,,,,,,,,,,,,2,1,10,1,1,1,1,1,,4394.9272,4837.626,2096.2188,2330.4761,22.946207,0
79,7901,23,2020,71,3,6,,,,,,,,,,,,,2,1,10,4,1,1,1,1,,3819.7168,2849.9585,1195.3406,1320.6555,5529.8794,7175.146
79,7902,23,2020,68,3,6,,,,,,,,,,,,,2,1,20,4,1,1,1,2,,3754.8606,3329.2161,1317.9926,1344.4628,5529.8794,3068.7666
7281,7904,23,2020,42,1,6,1,6,40,701,681,681,2004m4,1,131,231,231,1,2,1,10,4,1,1,2,1,600,3966.7017,2844.6938,2237.707,2308.8005,95.547295,191.10374
79,7905,23,2020,38,1,5,1,,40,801,851,851,2010m3,1,154,253,253,1,1,1,13,4,1,1,1,2,250,4036.1821,6099.957,1344.6874,1361.7723,5529.8794,6346.5195
80,8001,23,2020,75,3,3,,,,,,,,,,,,,2,1,10,1,3,1,1,1,,,,1038.3235,930.112,1969.9063,1898.0277
80,8002,23,2020,69,3,3,,,,,,,,,,,,,2,1,20,1,3,1,1,2,,,,1144.8641,1462.3838,1969.9063,1898.0277
8167,8003,23,2020,43,1,6,1,6,40,632,521,521,2019m1,1,512,521,521,1,2,8,20,1,3,1,2,2,200,,,1752.5547,1712.0891,125.10871,250.22942
80,8004,23,2020,40,1,6,1,1,40,883,911,911,2012m1,2,282,286,286,1,1,1,13,1,3,1,1,1,250,,,1176.1791,1152.7349,1969.9063,2113.9465
82,8201,23,2020,48,1,6,1,3,45,451,412,412,2020m6,1,131,231,231,1,2,1,10,3,1,1,1,1,370,2097.4255,1980.0061,1220.9442,1216.4299,6.1481977,12.296984
6288,8202,23,2020,72,3,3,,,,,,,,,,,,,2,1,10,1,1,1,2,1,,1046.704,1124.5818,414.31805,432.59207,1572.1287,1572.204
6288,8203,23,2020,71,1,3,2,,35,939,969,969,2012m8,4,262,510,510,2,2,1,20,3,1,1,2,2,70,1115.8386,1258.0519,456.34589,494.8573,1572.1287,1572.204
82,8204,23,2020,42,1,6,1,1,40,221,581,581,2002m10,1,183,285,285,1,2,1,20,3,1,1,1,2,250,2178.7473,2302.8777,1194.9404,1233.366,6.1481977,0
82,8205,23,2020,15,3,2,,,,,,,,,,,,,1,1,11,3,1,1,1,2,,2290.0671,2226.7253,1419.1752,1346.7594,6.1481977,6.1484919
83,8301,23,2020,72,3,6,,,,,,,,,,,,,2,5,10,1,3,1,1,1,,,,1387.2356,1316.1863,1436.0948,1436.1636
83,8302,23,2020,66,3,3,,,,,,,,,,,,,2,5,20,1,3,1,1,2,,,,1287.2102,1383.33,1436.0948,1436.1636
8591,8303,23,2020,40,1,6,1,,6,809,856,856,2020m1,2,156,254,254,1,2,5,10,1,3,1,2,2,97,,,2263.2268,2456.0811,1553.3503,1553.4248
8592,8304,23,2020,39,3,6,,,,,,,,,,,,,2,5,20,1,3,1,2,2,,,,1891.7246,1994.1528,1553.3503,1553.4248
85,8501,23,2020,81,1,2,1,1,72,702,682,682,2019m1,1,912,942,942,1,2,8,10,1,1,1,1,1,95,1007.0755,776.00525,404.80325,415.79922,1976.793,2006.9479
85,8502,23,2020,76,3,2,,,,,,,,,,,,,2,8,20,1,1,1,1,2,,985.19989,1388.0291,392.43893,448.53281,1976.793,1946.8275
5788,8503,23,2020,46,1,3,2,,40,222,181,181,2018m1,4,825,892,892,2,2,1,10,1,1,1,2,1,180,1839.495,1638.2739,1100.2791,1062.6134,3.3827491,4.7342248
6400,8504,23,2020,43,1,3,1,1,10,521,471,471,2015m10,2,321,521,521,1,2,1,20,1,1,1,2,2,36,2618.0393,2850.9871,1361.9744,1360.6307,1777.3937,3554.9575
86,8601,23,2020,66,3,2,,,,,,,,,,,,,3,1,10,1,1,1,1,2,,4884.8145,3034.2532,3345.3198,2639.4038,7225.4775,6082.2524
8021,8603,23,2020,43,1,6,1,6,40,241,201,201,2012m5,1,133,232,232,1,2,8,10,1,2,1,2,1,500,3285.8979,6507.9287,1788.0638,1671.9773,82.126022,164.25992
9067,8604,23,2020,41,1,6,1,,40,452,411,411,2014m5,3,941,910,910,1,1,8,10,1,2,1,2,1,250,5374.9233,5322.688,3215.6174,3068.4448,3803.8726,3804.0547
86,8605,23,2020,26,1,3,1,2,40,524,474,474,2020m5,2,512,521,521,1,1,1,13,1,1,1,1,2,250,6510.3784,8035.8276,4163.5596,4520.9082,7225.4775,8369.3945
87,8701,23,2020,60,1,3,1,1,30,702,682,682,2012m8,2,262,274,274,1,1,1,10,1,1,1,1,1,250,4178.627,4698.8169,2364.5044,2444.3843,4321.0703,4321.2769
88,8801,23,2020,60,1,2,1,6,72,851,861,861,2018m3,1,322,392,392,1,2,1,10,1,1,1,1,1,250,2769.8279,3740.009,1714.4934,1602.674,2510.1003,2781.5032
88,8802,23,2020,55,3,2,,,,,,,,,,,,,2,1,20,1,1,1,1,2,,2638.9126,3417.7144,1513.5347,1501.918,2510.1003,2178.0366
9068,8803,23,2020,31,1,3,1,4,40,501,451,451,2018m9,1,235,284,284,1,2,8,20,1,2,1,2,2,185,1974.5134,4171.373,1241.4573,1219.1083,3515.8687,7032.0742
88,8804,23,2020,29,1,4,1,1,40,463,423,423,2020m5,1,713,762,762,1,1,1,12,1,1,1,1,1,230,3638.4602,2036.9856,2182.4331,2268.188,2510.1003,2571.1221
89,8902,23,2020,84,3,2,,,,,,,,,,,,,3,1,10,3,1,1,1,2,,1206.3719,1336.649,524.17108,555.82904,1458.9259,1458.9958
91,9101,23,2020,73,1,3,1,2,25,702,682,682,2019m2,2,911,941,941,1,2,1,10,1,1,1,1,1,100,1640.0316,1611.7213,662.58264,667.255,1704.3595,1772.7814
91,9102,23,2020,68,3,2,,,,,,,,,,,,,2,1,20,1,1,1,1,2,,1612.1849,2071.7354,730.56915,849.50153,1704.3595,1636.1008
6426,9103,23,2020,45,1,6,1,2,40,743,721,721,2008m5,1,135,239,236,1,2,8,10,1,1,1,2,1,650,3115.0793,3182.2205,1603.9562,1665.5482,7.8470931,15.694938
