mem_no,gender,age,addr_no,join_date
177744,women,54,9016,2011-11-11
117807,man,39,9014,2010-11-23
179441,women,31,9001,2012-08-09
185703,women,61,9002,2020-10-30
134501,man,47,9002,2019-01-09
197078,man,45,9014,2018-08-29
195308,man,51,9001,2013-02-28
108921,women,20,9003,2011-08-01
180305,man,23,9004,2017-10-21
125751,women,51,9002,2015-07-08
149742,women,21,9015,2010-06-27
120222,man,42,9015,2020-04-04
126912,man,65,9014,2016-02-15
146069,man,28,9017,2010-09-13
144606,women,62,9002,2010-08-15
139929,women,49,9009,2010-03-27
115210,women,53,9003,2013-11-06
145020,man,40,9010,2013-03-10
139965,man,42,9014,2018-11-15
117531,man,34,9001,2014-11-14
125393,women,60,9009,2020-07-01
102075,man,56,9004,2012-04-30
182825,women,46,9009,2013-12-07
131028,women,61,9003,2011-06-14
136258,man,47,9006,2017-08-20
140349,man,34,9015,2013-01-06
185142,man,30,9001,2020-01-06
108806,women,40,9006,2014-06-14
141419,man,23,9011,2019-02-12
111746,women,34,9007,2018-04-24
103301,women,47,9003,2020-02-08
127747,man,20,9012,2014-03-16
198327,man,60,9002,2010-03-19
160240,man,53,9013,2010-08-13
170996,women,53,9017,2012-08-10
150566,man,26,9009,2010-02-16
139302,women,44,9001,2013-04-30
137306,women,61,9006,2017-09-30
123481,man,43,9007,2011-07-01
129034,man,23,9004,2016-04-20
190893,man,29,9016,2012-06-11
179085,women,53,9014,2013-09-18
151349,man,62,9017,2019-01-22
185595,women,59,9012,2017-10-10
152844,women,33,9014,2014-09-11
179072,man,54,9003,2015-04-01
193294,man,50,9015,2014-02-28
144845,man,62,9006,2017-11-04
143678,women,59,9013,2012-02-13
190807,man,47,9014,2017-07-24
160738,women,27,9008,2014-02-13
112436,women,61,9004,2017-03-02
181773,man,34,9007,2018-03-02
141322,man,62,9010,2011-01-04
138970,man,25,9015,2020-04-08
191566,women,35,9001,2012-04-10
141079,man,39,9005,2013-04-07
123566,women,45,9007,2011-01-24
101780,women,24,9003,2020-10-21
117817,man,30,9004,2017-07-21
177128,man,49,9009,2020-02-18
108532,man,52,9003,2019-12-23
158558,women,48,9016,2013-12-15
138417,man,58,9014,2013-11-04
155858,women,32,9002,2013-05-23
149799,women,45,9002,2015-08-11
170216,man,29,9014,2018-03-04
117888,man,47,9013,2018-07-01
170448,man,45,9008,2012-09-07
127026,women,44,9006,2015-03-12
141798,man,38,9017,2011-04-01
195694,women,33,9015,2018-08-20
154477,women,20,9010,2012-05-07
194078,man,30,9008,2019-04-27
131241,man,23,9015,2013-06-01
142760,man,24,9013,2012-01-23
107052,women,35,9005,2017-01-10
121910,man,29,9008,2015-06-27
171741,women,22,9003,2016-11-16
172060,women,35,9012,2010-01-29
158177,man,42,9013,2018-04-19
114270,man,43,9012,2015-08-26
152030,man,56,9008,2014-03-09
171183,women,29,9009,2013-05-15
111591,man,43,9012,2014-03-06
189412,women,53,9014,2019-03-03
122308,women,64,9017,2018-07-01
105193,man,41,9013,2013-05-25
197805,man,26,9012,2020-12-10
131972,man,43,9010,2015-10-08
144558,women,51,9007,2014-09-07
166129,man,32,9003,2014-05-02
173956,women,60,9016,2020-12-15
147762,women,32,9001,2020-03-06
182642,man,44,9012,2016-08-21
111909,man,23,9017,2011-12-27
163724,man,56,9017,2020-03-20
172305,women,35,9011,2015-11-10
168565,man,40,9016,2013-05-30
124761,women,26,9012,2020-11-11
154747,women,63,9011,2011-05-08
136459,man,49,9013,2020-11-21
118905,man,61,9008,2014-03-15
162926,man,39,9011,2016-12-02
105267,women,62,9014,2010-12-07
155184,man,61,9013,2017-10-24
172506,women,20,9002,2019-01-16
167087,women,41,9006,2012-04-13
114060,man,53,9013,2016-02-23
187373,man,53,9008,2020-07-11
178843,man,29,9015,2013-03-18
123715,women,48,9011,2014-10-01
124608,man,27,9015,2012-10-31
192627,women,37,9008,2013-01-11
109158,women,40,9013,2015-09-07
199109,man,36,9006,2012-12-20
103716,man,27,9001,2019-03-12
185648,man,32,9007,2012-05-01
189202,women,63,9006,2016-02-03
189610,man,65,9015,2015-10-24
139846,women,27,9004,2014-04-04
127905,women,23,9014,2019-07-15
146810,man,29,9003,2019-07-14
188156,man,64,9006,2019-11-27
110592,man,39,9001,2013-06-22
166100,women,49,9005,2019-01-08
126009,women,62,9001,2015-03-20
199687,women,65,9003,2019-03-28
170594,man,42,9008,2017-04-18
106879,man,63,9009,2016-11-27
111894,man,28,9002,2013-11-19
150411,women,23,9017,2019-04-04
178415,man,39,9010,2019-03-21
149644,women,49,9004,2012-01-13
101951,women,40,9009,2020-03-16
124720,man,43,9013,2012-01-15
180053,man,61,9002,2012-09-06
155290,man,65,9005,2019-07-25
166980,women,34,9010,2019-02-04
106105,man,21,9016,2013-11-11
103999,women,38,9002,2010-08-28
167345,women,39,9017,2016-10-19
167171,man,24,9005,2012-08-15
169397,man,52,9010,2011-09-30
166414,man,27,9015,2018-09-19
141855,women,20,9007,2016-01-17
176730,man,38,9017,2016-07-24
143537,women,25,9013,2015-07-12
110827,women,48,9009,2013-01-17
173787,man,20,9001,2014-11-28
160243,man,60,9011,2012-09-03
172682,man,46,9006,2011-07-19
161983,women,42,9012,2016-11-20
172773,man,27,9007,2010-12-09
108969,women,26,9003,2016-06-30
179717,women,28,9001,2014-09-28
103580,man,34,9012,2015-10-31
183489,man,25,9011,2019-07-04
176009,man,55,9004,2014-11-05
175218,women,60,9001,2011-06-30
179492,man,48,9013,2014-12-14
170432,women,30,9007,2020-08-28
169950,women,57,9017,2010-07-29
109529,man,65,9004,2012-05-25
116694,man,43,9015,2017-12-23
164585,man,34,9006,2017-02-01
144163,women,64,9009,2014-10-13
128873,man,50,9013,2017-02-25
199867,women,22,9012,2015-07-11
163073,women,40,9017,2018-10-23
102826,man,53,9008,2020-09-12
167712,man,22,9008,2018-11-09
189377,man,35,9004,2011-03-11
193815,women,59,9013,2019-01-19
181441,man,36,9002,2014-04-22
135925,women,54,9005,2010-07-28
198698,women,62,9011,2010-12-02
122409,man,38,9010,2012-09-03
195146,man,63,9012,2016-04-06
135368,man,42,9006,2014-07-25
166210,women,47,9002,2016-06-01
186332,man,49,9016,2015-07-01
186795,women,60,9012,2014-02-06
180759,women,43,9009,2013-05-27
180114,man,22,9006,2019-09-01
178359,man,45,9004,2016-06-01
117993,man,29,9017,2017-05-07
174239,women,64,9008,2010-12-01
119201,man,36,9014,2014-12-30
134961,women,48,9013,2010-03-22
104540,women,34,9004,2010-10-23
167031,man,26,9016,2018-11-16
135210,man,42,9006,2013-05-09
106037,man,37,9004,2013-02-12
100159,women,21,9017,2014-05-01
133641,man,35,9010,2018-07-07
136800,women,39,9015,2014-07-09
137401,women,53,9009,2018-04-28
195349,man,46,9012,2011-01-31
159056,man,23,9005,2017-06-10
181903,man,48,9004,2014-02-05
132698,women,21,9004,2015-01-30
123958,man,30,9012,2013-11-13
176129,women,32,9017,2018-06-06
112911,women,33,9003,2012-08-19
127101,man,36,9011,2017-06-11
150830,man,47,9009,2011-08-01
198046,man,34,9016,2012-06-15
180981,women,30,9014,2020-08-13
159020,man,60,9004,2018-03-12
135645,women,53,9003,2019-10-08
193287,women,41,9012,2016-12-16
158048,man,34,9001,2020-06-12
162260,man,33,9010,2013-12-23
124814,man,36,9016,2019-10-31
124276,women,52,9015,2016-08-04
146377,man,60,9001,2020-03-20
188801,women,59,9013,2011-07-13
121110,women,25,9011,2019-12-11
164007,man,64,9009,2015-04-18
114707,man,43,9015,2012-01-27
179344,man,26,9015,2016-07-07
182244,women,34,9012,2016-09-05
178218,man,58,9002,2011-05-13
120521,women,38,9001,2014-07-26
132230,women,30,9001,2012-12-07
137915,man,25,9016,2016-03-01
141728,man,29,9014,2012-09-08
197225,man,55,9002,2016-07-27
197275,women,43,9009,2010-02-03
177209,man,52,9007,2017-04-17
108675,women,49,9005,2019-04-28
152157,women,38,9005,2014-02-09
167589,man,53,9008,2013-12-14
189179,man,32,9008,2020-07-12
103210,man,39,9001,2014-04-09
113285,women,38,9003,2011-04-25
179125,women,25,9005,2013-07-30
147111,women,30,9016,2018-07-13
175238,man,60,9002,2018-02-16
156224,man,57,9004,2018-03-19
168012,man,55,9008,2014-03-18
180453,women,27,9015,2015-12-24
114004,man,59,9016,2015-03-07
149396,women,28,9009,2013-06-12
191101,women,47,9004,2013-11-25
138759,man,60,9010,2015-09-25
175998,man,23,9013,2014-07-28
183654,man,51,9012,2010-04-09
143263,women,20,9003,2019-12-09
119594,man,60,9011,2013-12-11
157758,women,35,9005,2015-09-29
134450,women,43,9006,2014-01-21
148627,man,42,9016,2010-01-03
105425,man,60,9010,2014-09-01
106575,man,55,9016,2012-08-10
111321,women,51,9011,2016-07-01
177955,man,40,9008,2018-01-26
188026,women,40,9009,2017-07-27
111711,women,35,9017,2010-01-25
101160,man,24,9012,2014-08-29
114829,man,61,9012,2017-02-17
118652,man,46,9014,2013-10-01
184063,women,42,9012,2013-01-08
126472,man,47,9013,2020-03-19
120540,women,50,9005,2018-11-28
177556,women,56,9010,2020-04-21
161622,man,27,9003,2017-08-01
170783,man,61,9001,2010-08-25
144444,man,53,9012,2019-01-11
168577,women,57,9004,2020-05-17
175121,man,37,9015,2019-04-24
194376,women,22,9017,2019-07-09
140647,women,64,9012,2015-07-05
130689,man,41,9010,2012-02-16
140280,man,33,9006,2010-01-06
196549,man,41,9013,2020-06-24
172031,women,63,9004,2020-11-25
106053,man,54,9005,2016-10-04
115351,women,48,9013,2018-07-26
164738,women,53,9004,2010-10-15
124592,man,63,9004,2014-07-19
175368,man,53,9014,2019-08-16
106489,man,42,9015,2014-06-12
110512,women,62,9004,2010-02-01
105262,man,43,9017,2017-06-02
169987,women,42,9008,2018-05-07
133526,women,29,9004,2019-11-26
107846,man,53,9006,2018-11-14
153117,man,21,9001,2017-06-16
138525,man,28,9005,2014-05-06
169827,women,33,9008,2017-09-07
117439,man,48,9017,2015-10-31
127959,women,22,9004,2018-05-06
103178,women,42,9014,2017-11-27
184912,man,51,9002,2010-10-13
156109,man,52,9007,2013-11-25
117628,man,40,9016,2015-01-26
142947,women,65,9015,2017-07-31
173367,man,32,9010,2018-10-08
167737,women,29,9007,2013-02-21
134833,women,55,9012,2013-01-01
100254,man,57,9009,2018-12-21
199778,man,57,9008,2012-08-27
148122,man,47,9009,2020-02-29
132008,women,44,9013,2010-10-18
158741,man,51,9007,2010-11-14
164021,women,54,9006,2013-04-24
135305,women,34,9007,2011-09-07
197640,man,63,9014,2018-08-29
192276,man,52,9016,2020-12-16
120957,man,46,9007,2012-09-23
102470,women,64,9014,2016-11-14
113529,man,63,9002,2011-11-25
111753,women,44,9012,2015-05-16
166288,women,30,9001,2010-03-10
194801,man,50,9010,2010-05-08
198575,man,30,9004,2015-06-15
101611,man,29,9012,2015-09-17
170822,women,58,9004,2012-06-17
160798,man,24,9011,2019-12-25
110275,women,24,9003,2011-04-29
157893,women,35,9006,2010-04-19
134317,man,46,9010,2015-02-27
125711,man,39,9017,2011-02-12
198653,man,25,9015,2017-10-04
114452,women,35,9005,2011-03-10
190212,man,33,9002,2012-01-23
169329,women,42,9017,2013-10-06
142574,women,61,9009,2020-10-26
177087,man,51,9005,2013-02-18
150085,man,30,9013,2012-08-31
180347,man,59,9001,2016-05-14
118672,women,48,9005,2020-10-18
192095,man,23,9009,2018-07-24
151965,women,47,9005,2017-10-15
158821,women,43,9003,2015-03-21
160986,man,64,9016,2018-12-04
192757,man,55,9013,2015-03-01
115124,man,50,9015,2014-05-26
125973,women,65,9015,2013-06-07
143653,man,31,9011,2019-12-19
183912,women,31,9011,2010-11-25
179918,women,55,9007,2019-06-04
161488,man,61,9015,2012-04-09
127860,man,21,9016,2015-06-05
172047,man,36,9014,2010-06-15
125329,women,50,9009,2012-12-01
142806,women,59,9002,2010-12-20
136065,women,62,9014,2018-03-28
143861,man,56,9011,2013-10-01
176099,man,49,9005,2017-06-03
153759,man,47,9009,2013-02-05
135021,women,41,9005,2018-10-29
177871,man,51,9004,2016-03-17
132956,women,65,9014,2020-12-02
100923,women,65,9007,2019-02-21
146050,man,22,9001,2015-10-25
171520,man,47,9016,2020-11-30
163452,man,44,9014,2019-07-26
104297,women,36,9010,2020-05-13
110061,man,45,9003,2010-07-09
166953,women,34,9009,2013-07-09
191419,women,53,9009,2012-06-23
142188,man,49,9002,2018-02-26
136373,man,35,9004,2018-10-15
115313,man,58,9003,2011-03-31
107583,women,31,9008,2016-08-21
168612,man,25,9007,2018-07-19
127331,women,45,9010,2013-09-18
127804,women,23,9006,2013-10-18
127878,man,34,9006,2019-05-19
150894,man,48,9006,2012-01-16
104678,man,32,9002,2011-02-17
179089,women,20,9006,2010-03-21
101366,man,26,9010,2015-06-01
108680,women,64,9015,2010-08-27
119524,women,59,9011,2015-07-24
143640,man,60,9014,2019-10-05
182909,man,50,9004,2017-04-17
118438,man,21,9010,2010-06-06
174327,women,28,9002,2012-10-30
131663,man,55,9017,2012-01-04
194216,women,50,9009,2018-06-24
133030,women,40,9002,2016-05-28
195099,man,60,9017,2014-07-29
111514,man,20,9007,2013-10-08
175329,man,63,9004,2015-01-16
157015,women,33,9016,2010-05-21
187474,man,57,9012,2010-10-06
126443,women,56,9010,2018-03-04
152133,women,31,9004,2010-12-07
100485,man,22,9008,2017-07-25
174667,man,54,9012,2020-06-05
103870,man,23,9003,2015-10-24
165845,women,39,9002,2020-11-19
124878,man,23,9001,2020-04-20
163797,women,46,9009,2013-03-02
146871,women,38,9013,2020-03-06
165887,man,60,9013,2017-12-21
109127,man,47,9006,2020-04-07
190530,man,37,9004,2017-02-17
113689,women,52,9003,2019-06-13
168468,man,54,9003,2018-07-02
110189,women,31,9011,2014-04-15
123315,women,54,9008,2020-05-01
160340,man,58,9017,2012-09-23
157756,man,61,9011,2014-03-12
148104,man,49,9015,2018-03-04
110720,women,39,9012,2019-12-24
124664,man,25,9014,2014-10-15
177190,women,35,9014,2015-09-13
155145,women,25,9008,2020-10-29
153169,man,50,9006,2018-04-19
126011,man,57,9005,2010-02-14
133166,man,30,9009,2014-08-18
154912,women,48,9009,2013-02-24
179030,man,33,9012,2017-02-23
195376,women,36,9006,2013-08-06
160231,women,34,9017,2014-04-02
148358,man,61,9010,2017-06-13
169385,man,59,9012,2010-12-28
126877,man,59,9003,2011-05-07
123096,women,41,9002,2011-07-14
194683,man,24,9001,2011-07-04
170558,women,44,9017,2014-06-28
167442,women,24,9014,2012-09-07
145845,man,56,9004,2020-06-02
108555,man,22,9006,2017-08-31
148039,man,48,9005,2010-10-30
136071,women,24,9016,2013-11-14
123128,man,36,9013,2011-10-07
109801,women,49,9013,2017-02-09
151596,women,60,9015,2017-08-09
103668,man,51,9010,2015-10-13
118149,man,20,9003,2014-01-24
173127,man,55,9014,2012-09-21
179689,women,58,9010,2012-02-05
152701,man,25,9001,2018-12-15
122370,women,32,9017,2013-10-01
113890,women,29,9014,2020-07-01
105049,man,54,9002,2014-04-21
186714,man,63,9005,2020-02-24
189445,man,42,9009,2020-09-04
162654,women,23,9001,2020-09-14
155688,man,53,9014,2014-08-15
187236,women,56,9013,2015-05-01
154882,women,58,9002,2014-06-08
163353,man,56,9005,2010-09-07
167682,man,26,9015,2019-10-16
198471,man,28,9009,2012-04-01
130246,women,20,9015,2013-08-31
109851,man,57,9010,2017-06-13
108661,women,55,9001,2016-01-06
176441,women,57,9002,2018-03-12
125931,man,57,9013,2014-12-10
163326,man,38,9001,2016-03-22
135987,man,42,9009,2017-11-11
156968,women,56,9011,2012-05-19
185291,man,56,9002,2019-10-17
167820,women,45,9011,2013-12-20
112724,women,44,9010,2015-06-18
143976,man,36,9012,2017-01-07
188001,man,56,9017,2020-02-08
105603,man,57,9010,2016-11-21
198205,women,60,9002,2013-08-14
182915,man,53,9006,2017-10-16
155752,women,42,9002,2014-02-03
122596,women,35,9016,2010-04-08
152687,man,41,9013,2020-06-22
151210,man,57,9004,2019-12-28
159743,man,56,9003,2019-03-28
199410,women,26,9003,2020-04-04
178712,man,42,9008,2014-10-27
199504,man,62,9009,2016-11-21
129657,women,32,9010,2017-02-17
142113,women,21,9010,2013-11-23
135578,man,57,9011,2017-11-07
108554,man,52,9001,2017-12-15
154765,man,40,9001,2018-03-07
127105,women,37,9017,2014-08-01
118959,man,27,9010,2011-07-14
123876,women,63,9008,2010-07-20
100884,women,57,9007,2018-06-22
157674,man,54,9014,2012-07-24
131445,man,57,9009,2019-11-14
100820,man,22,9003,2020-08-01
197084,women,55,9008,2016-02-25
187929,man,42,9014,2019-05-01
129056,women,41,9014,2016-01-18
109835,women,49,9014,2015-12-15
164129,man,58,9006,2010-11-05
146217,man,28,9016,2019-01-03
132677,man,45,9001,2014-08-05
178412,women,63,9013,2017-08-25
149784,man,45,9017,2013-09-03
136218,women,50,9004,2012-08-22
194808,women,37,9004,2017-01-29
113321,man,22,9011,2018-07-25
197437,man,33,9014,2013-01-24
120914,man,22,9005,2020-09-21
136015,women,44,9017,2016-06-12
124608,man,29,9003,2016-02-15
171581,women,51,9005,2010-01-01
110497,women,52,9013,2017-05-19
183564,man,63,9011,2014-12-25
173693,man,65,9015,2011-10-17
119265,man,37,9005,2011-01-25
119741,women,25,9016,2015-06-17
149619,man,26,9014,2016-04-24
144600,women,26,9005,2020-01-20
178273,women,21,9007,2014-07-01
113357,man,54,9012,2013-10-13
150048,man,30,9010,2013-06-19
100553,man,53,9014,2012-06-23
148918,women,52,9006,2011-02-21
128710,man,65,9001,2020-07-12
149386,women,31,9010,2017-08-26
122764,women,53,9005,2016-07-23
156928,man,20,9008,2012-03-13
152591,man,34,9004,2019-06-02
188624,man,27,9009,2015-10-04
143978,women,51,9003,2015-02-22
198381,man,58,9010,2017-04-15
167306,women,40,9003,2020-04-12
132429,women,52,9008,2019-02-27
190653,man,23,9009,2018-06-26
181786,man,34,9016,2010-12-16
159998,man,21,9016,2017-07-10
180889,women,36,9017,2011-10-14
177523,man,62,9014,2012-11-10
190221,women,61,9015,2015-07-05
171574,women,58,9005,2018-12-25
107952,man,36,9013,2013-04-17
189327,man,42,9010,2011-03-02
182561,man,57,9005,2016-04-17
191694,women,39,9004,2010-12-18
107054,man,51,9017,2019-04-14
103347,women,27,9002,2010-01-19
126792,women,57,9008,2019-09-05
151918,man,59,9001,2015-03-29
146435,man,37,9007,2018-07-18
114737,man,40,9011,2015-01-21
194015,women,23,9008,2012-03-28
141015,man,55,9008,2019-07-21
133947,women,28,9005,2020-06-03
113422,women,34,9015,2012-12-31
196817,man,62,9017,2019-03-03
131987,man,33,9013,2014-06-06
148299,man,28,9009,2017-06-11
142926,women,21,9013,2013-10-10
141017,man,24,9013,2011-06-08
181353,women,55,9001,2013-10-14
166728,women,42,9011,2019-03-01
186552,man,43,9001,2015-01-11
194826,man,44,9004,2014-07-22
163878,man,58,9007,2020-08-24
